File name,221.100
Result analysis file name,221_bl.raf
Subject,221
Gender,
Age
Memo
Free comment 1,SubjectID,221
Free comment 2,Date,01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG,,,uV^2,uV^2,uV^2,uV^2,uV^2,,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,
EpochNo,Stage,Time,Delta,Theta,Alpha,Beta,Gamma,,0.000000Hz,0.488281Hz,0.976563Hz,1.464844Hz,1.953125Hz,2.441406Hz,2.929688Hz,3.417969Hz,3.906250Hz,4.394531Hz,4.882813Hz,5.371094Hz,5.859375Hz,6.347656Hz,6.835938Hz,7.324219Hz,7.812500Hz,8.300781Hz,8.789063Hz,9.277344Hz,9.765625Hz,10.253906Hz,10.742188Hz,11.230469Hz,11.718750Hz,12.207031Hz,12.695313Hz,13.183594Hz,13.671875Hz,14.160156Hz,14.648438Hz,15.136719Hz,15.625000Hz,16.113281Hz,16.601563Hz,17.089844Hz,17.578125Hz,18.066406Hz,18.554688Hz,19.042969Hz,19.531250Hz,
19,W,4/20/2017 19:01:16,1076.847692,213.708953,90.136995,143.898281,123.459145,,73.350182,232.436142,191.717590,100.401962,44.480103,208.271072,75.145569,55.328964,21.607065,93.462418,53.996807,44.023808,16.663746,4.202585,11.555343,9.207242,56.959194,51.652176,19.444860,29.040451,16.253139,11.024253,15.451974,8.651644,9.715534,15.323606,9.768844,5.563368,6.204000,18.156054,11.393305,9.612976,7.412532,5.735618,1.837125,5.318296,9.052923,6.328395,6.085298,7.701769,18.404173,
20,W,4/20/2017 19:01:20,684.416098,423.055285,165.009853,211.092172,144.662735,,5.729214,42.690411,61.989372,105.030083,114.232254,89.202797,86.689407,96.651558,52.181236,10.251818,25.497162,67.977905,71.794914,88.037704,64.668228,47.117661,46.323189,22.114809,15.020874,39.554943,27.635517,24.937305,45.129509,18.282640,9.469938,9.984045,9.248919,28.248125,22.625057,0.932885,15.182701,19.273586,23.984386,9.423888,6.161281,9.638587,17.366718,7.929062,14.390841,8.073429,8.628659,
21,W,4/20/2017 19:01:24,13407.762451,5073.952942,2107.996826,2451.261110,1264.423412,,908.844604,2413.104248,1868.135254,1947.905640,1748.850464,801.457581,514.463318,582.564880,853.177185,1555.914551,1122.189331,996.349243,440.049591,294.929352,548.259460,756.052673,753.366516,918.492615,366.453491,131.167511,312.478851,585.320740,558.114685,265.030548,255.884491,126.928276,117.989487,290.861389,288.133057,279.852692,229.910614,85.810112,73.564590,101.302788,272.585876,156.302124,155.747284,132.727371,66.793533,19.635897,53.116020,
22,W,4/20/2017 19:01:28,11692.726440,1797.190453,346.994160,588.411050,2249.836563,,110.147293,1656.810913,1605.326416,1364.055664,1480.801880,1404.826660,945.948242,1177.072021,978.632507,495.372070,583.880066,407.143127,433.987549,225.090088,233.299576,206.814346,102.263435,106.655067,81.937263,119.597481,37.589737,57.252243,60.223095,31.487652,40.843952,104.053619,54.196369,24.804701,45.820198,11.993744,31.422894,34.576332,7.121315,17.012316,19.214735,10.143425,5.065230,35.018047,74.333305,56.370010,57.264809,
23,W,4/20/2017 19:01:32,743.048406,562.772453,164.752286,185.520932,217.947695,,6.121260,40.888298,67.913177,124.369186,66.421661,99.258644,149.414337,86.077545,40.268135,10.069203,58.368217,126.192719,77.247009,104.903351,19.082432,37.900242,67.098763,20.639885,109.708054,53.492855,51.442646,48.832401,0.973454,5.090577,4.920353,9.703968,5.310643,3.539807,6.869543,8.459259,20.914085,2.455928,16.694258,17.052992,28.303352,20.068594,12.309317,5.442430,2.753761,7.794803,17.848192,
24,W,4/20/2017 19:01:36,588.208052,409.918309,204.063374,293.463909,195.632989,,1.087487,10.567698,42.839752,102.391327,78.746201,72.082626,45.785072,70.494904,45.402527,45.008358,74.889587,36.528053,13.800763,43.499100,106.516563,70.818359,24.831017,56.098202,57.826252,65.484375,14.291426,41.407219,45.385033,16.348885,21.146437,21.649982,29.620249,31.638193,18.082987,5.451496,4.311493,22.850681,8.290052,14.490002,17.565475,3.597763,7.045278,12.265075,27.622169,37.757961,31.225052,
25,W,4/20/2017 19:01:40,1038.478439,492.331538,108.516679,301.137667,285.042287,,8.307678,54.759136,128.312531,58.270313,163.555695,44.428604,179.131897,182.343536,21.360542,111.057655,95.258530,30.600212,17.222284,31.953476,50.683212,59.424984,115.826324,170.936890,15.684155,16.222876,4.283453,23.356949,34.539452,11.458697,18.655252,26.655231,6.582428,16.224243,9.695451,13.962413,18.283722,8.794115,23.322111,34.939915,17.474152,21.675228,17.081839,3.255032,18.814625,33.950859,30.426304,
26,W,4/20/2017 19:01:44,1384.723864,504.154602,84.658688,193.337033,144.739048,,13.655303,26.906923,11.803036,49.215603,178.432892,94.373184,163.167496,188.732300,284.102020,321.743408,66.247002,109.597084,107.326004,63.587078,47.457550,52.669533,38.940670,53.468536,31.108147,11.953749,15.774876,20.337605,17.708580,6.578180,12.305698,14.199458,3.578523,3.697579,10.504889,32.676914,21.433613,34.967773,29.753956,6.979025,7.129002,10.438304,2.651042,4.635052,6.741433,2.187687,1.762783,
27,W,4/20/2017 19:01:48,1581.968820,933.262642,155.083320,166.693434,152.411580,,2.055183,9.657968,66.471985,138.517349,146.083817,25.038387,118.682961,384.708496,430.654541,201.452881,60.700436,195.357880,308.502716,208.074585,58.556259,79.653542,47.159172,22.161650,13.796839,4.284972,29.792652,29.879955,32.711700,35.125156,23.288883,12.597878,19.671352,16.576653,16.284294,15.369604,2.594856,4.832476,6.022074,16.020920,13.273516,9.293927,8.222114,7.372705,7.732135,4.979314,5.849618,
28,W,4/20/2017 19:01:52,577.153670,514.189835,147.569580,158.779246,152.458198,,6.996081,32.398682,170.694275,108.662842,64.006561,41.032177,34.316956,47.468391,31.839142,34.188530,12.546115,30.055490,62.721680,32.397820,4.218245,61.573395,138.052628,88.616943,96.553635,56.951454,13.551908,20.526657,12.259869,28.812994,15.466698,12.176842,6.910021,26.750118,11.038742,6.304648,6.566752,11.685734,7.872503,5.098800,15.228321,14.034898,4.688409,10.149351,7.712236,5.923057,6.638814,
