File name	0061.100
Result analysis file name	0061_baseline.raf
Subject	0061
Gender	
Age
Memo
Free comment 1	SubjectID	0061
Free comment 2	Date	01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG			uV^2	uV^2	uV^2	uV^2	uV^2		uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	
EpochNo	Stage	Time	Delta	Theta	Alpha	Beta	Gamma		0.000000Hz	0.488281Hz	0.976563Hz	1.464844Hz	1.953125Hz	2.441406Hz	2.929688Hz	3.417969Hz	3.906250Hz	4.394531Hz	4.882813Hz	5.371094Hz	5.859375Hz	6.347656Hz	6.835938Hz	7.324219Hz	7.812500Hz	8.300781Hz	8.789063Hz	9.277344Hz	9.765625Hz	10.253906Hz	10.742188Hz	11.230469Hz	11.718750Hz	12.207031Hz	12.695313Hz	13.183594Hz	13.671875Hz	14.160156Hz	14.648438Hz	15.136719Hz	15.625000Hz	16.113281Hz	16.601563Hz	17.089844Hz	17.578125Hz	18.066406Hz	18.554688Hz	19.042969Hz	19.531250Hz	
19	W	12/23/2016 16:01:16	134.351102	17.576929	12.757200	7.657309	0.404469		2.697094	17.508451	18.156099	3.745692	15.039955	17.683178	17.697723	13.200264	12.045324	11.087721	8.186693	6.064386	0.881374	0.588891	1.504226	2.732025	1.344999	0.691445	3.769585	4.200866	1.565246	0.778787	0.894637	2.268038	3.049627	0.890260	0.470086	0.823498	0.983800	0.918370	0.965538	0.848566	0.366353	0.389740	0.123764	0.188358	0.125265	0.116198	0.267305	0.122777	0.057430	
20	W	12/23/2016 16:01:20	203.958172	22.770122	9.759684	7.274576	0.568664		0.563166	0.855251	13.202303	21.592621	36.581306	47.063919	37.959068	12.144506	1.943653	10.893989	21.721556	9.440796	2.977070	2.858123	0.680186	0.649100	1.110678	1.003929	4.050240	4.933749	2.151049	0.532881	0.951624	0.287123	0.903258	0.333973	0.335691	0.112189	0.941568	1.939749	1.871457	0.550676	0.205506	0.173768	0.121778	0.108766	0.129091	0.143723	0.065867	0.115204	0.125570	
21	W	12/23/2016 16:01:24	197.098874	20.484201	5.567909	5.378301	0.435760		4.571976	65.160690	20.999306	39.376503	46.130749	14.576036	5.648637	1.102101	1.650965	1.127627	1.326260	0.964782	5.225889	2.171475	0.418528	2.358646	3.814126	2.104561	3.426194	2.128477	0.348119	0.614270	0.291420	1.116709	1.068915	0.573944	0.552237	0.319085	0.078155	0.475598	0.615898	0.483555	0.558787	0.403114	0.283888	0.146627	0.297889	0.184720	0.014082	0.157887	0.232836	
22	W	12/23/2016 16:01:28	665.267313	16.226946	5.894618	5.744015	0.482747		0.495520	86.411751	203.829269	179.844864	85.899597	34.114388	23.722761	19.317192	18.527416	10.604995	2.995080	1.522375	1.627430	0.861358	2.098579	1.031293	1.109305	4.437352	3.539254	1.369491	1.492195	0.896094	0.103575	0.848432	1.184830	0.335415	0.210184	0.377393	0.153176	0.369080	0.533203	0.633631	1.182016	0.485444	0.129391	0.135967	0.270552	0.321532	0.404349	0.155728	0.046954	
23	NR	12/23/2016 16:01:32	566.703055	31.988952	6.853159	7.094363	0.502571		82.850136	356.251892	86.801109	38.971321	3.988544	24.793827	20.328159	18.452120	12.187139	2.823335	2.105608	8.335994	5.851383	0.558066	2.017668	8.296537	5.003699	1.560761	0.364844	1.373665	1.008435	0.412603	1.146502	1.332720	1.579234	1.303884	0.403173	1.051752	0.577407	0.970219	0.824824	0.072100	0.061613	0.209520	0.296193	0.117006	0.268532	0.543460	0.240445	0.091560	0.062676	
24	W*	12/23/2016 16:01:36	21920.278481	32.846804	22.857628	8.652108	1.057523		14.055828	16483.699219	4904.497559	157.475922	223.739105	27.766790	82.000481	23.545090	5.019976	7.629314	4.905025	4.337671	5.434210	1.591388	2.952442	5.418669	4.583185	5.392319	3.136920	7.885365	9.759397	2.875311	0.372987	0.929759	1.034809	1.190368	1.178569	1.535292	0.711214	0.644926	1.135915	0.139008	0.182204	0.573488	0.495103	0.325891	0.101692	0.201631	0.063439	0.070552	0.102815	
25	W*	12/23/2016 16:01:40	2560.158160	18.364024	14.019140	6.850767	0.828225		332.400269	1447.871216	445.544708	445.082153	83.142647	83.185226	25.534405	3.907458	8.975455	6.481360	10.433531	3.243508	0.691759	0.598905	1.868164	0.771977	1.259206	2.791654	7.138852	7.158037	4.381163	1.601806	0.192918	0.100913	0.584305	0.544960	0.246530	1.293294	0.439761	0.622862	0.540527	0.550953	0.247597	0.021572	0.095563	0.138636	0.175884	0.525533	0.383494	0.672530	0.351072	
26	W*	12/23/2016 16:01:44	2115.028406	45.443587	17.078280	11.198511	1.290501		111.925659	1066.520386	554.685059	244.203354	85.614685	22.546228	51.546700	21.674921	20.147568	26.169136	21.920370	17.651751	7.189680	1.336175	7.542779	1.382352	0.561570	5.046794	4.732487	4.431059	1.926647	5.120526	1.785317	2.178373	1.636356	0.865850	1.746794	0.875260	1.066482	0.589748	0.915377	1.166698	0.124093	0.381883	0.247130	0.851798	0.968155	0.302474	0.443261	0.222668	0.430840	
27	W*	12/23/2016 16:01:48	41513.236849	30.168878	17.426829	10.294876	0.418217		767.169983	24930.126953	10358.128906	2761.474854	2247.881836	732.113525	289.044312	116.222313	47.110458	19.146757	11.986935	1.180166	2.782403	0.551902	0.775379	2.123770	4.427499	9.051064	9.276695	3.999265	4.156628	3.793364	1.267559	2.361961	1.848053	1.353723	1.290929	1.044753	0.666408	0.667042	1.035258	1.434522	0.553293	0.446783	0.266739	0.581733	0.615412	0.060639	0.070978	0.050561	0.156102	
28	W	12/23/2016 16:01:52	1007.669283	20.147398	7.068479	13.135217	0.542434		523.091187	741.262939	115.780266	77.442123	21.674961	14.507654	9.982841	8.323169	7.397197	6.406664	4.891469	3.906494	2.570504	2.769537	3.505981	3.323459	1.460190	0.852320	1.758911	2.175483	0.909612	2.122546	1.034610	0.033264	0.792965	0.583015	0.320819	2.313280	2.748529	2.088052	1.949917	0.833867	0.127529	0.379653	0.277660	0.321835	0.174962	0.266925	0.462616	0.181777	0.104781	
